Nama Tim,GF,GA,GD,PTS
Internazionale,89,22,67,94
AC Milan,76,49,27,75
Juventus,54,31,23,71
Atalanta,72,42,30,69
Bologna,54,32,22,68
AS Roma,65,46,19,63
SS Lazio,49,39,10,61
Fiorentina,61,46,15,60
Torino,36,36,0,53
Napoli,55,48,7,53
Genoa,45,45,0,49
Monza,39,51,-12,45
Hellas Verona,38,51,-13,38
Lecce,32,54,-22,38
Udinese,37,53,-16,37
Cagliari,42,68,-26,36
Empoli,29,54,-25,36
Frosinone,44,69,-25,35
Sassuolo,43,75,-32,30
Salernitana,32,81,-49,17
